Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","250","France","5312","Area harvested","0115","Barley","2014","2014","ha","1764346","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0115","Barley","2014","2014","kg/ha","6647.5","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0115","Barley","2014","2014","t","11728556","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0115","Barley","2015","2015","ha","1838689","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0115","Barley","2015","2015","kg/ha","7123.7","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0115","Barley","2015","2015","t","13098233.9","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0115","Barley","2016","2016","ha","1917549","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0115","Barley","2016","2016","kg/ha","5444","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0115","Barley","2016","2016","t","10439229","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0115","Barley","2017","2017","ha","1904872","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0115","Barley","2017","2017","kg/ha","6345.2","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0115","Barley","2017","2017","t","12086796","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0115","Barley","2018","2018","ha","1767970","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0115","Barley","2018","2018","kg/ha","6246","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0115","Barley","2018","2018","t","11042820","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0115","Barley","2019","2019","ha","1944190","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0115","Barley","2019","2019","kg/ha","6977.4","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0115","Barley","2019","2019","t","13565420","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0115","Barley","2020","2020","ha","1974160","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0115","Barley","2020","2020","kg/ha","5205.9","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0115","Barley","2020","2020","t","10277230","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0115","Barley","2021","2021","ha","1730370","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0115","Barley","2021","2021","kg/ha","6542.7","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0115","Barley","2021","2021","t","11321320","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0115","Barley","2022","2022","ha","1866520","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0115","Barley","2022","2022","kg/ha","6046.2","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0115","Barley","2022","2022","t","11285440","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0115","Barley","2023","2023","ha","1815490","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0115","Barley","2023","2023","kg/ha","6688.8","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0115","Barley","2023","2023","t","12143490","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0115","Barley","2024","2024","ha","1808500","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0115","Barley","2024","2024","kg/ha","5346.6","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0115","Barley","2024","2024","t","9669250","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2014","2014","ha","1825121","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2014","2014","kg/ha","10050.5","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2014","2014","t","18343320","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2015","2015","ha","1637081","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2015","2015","kg/ha","8378.4","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2015","2015","t","13716048.4","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2016","2016","ha","1442805","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2016","2016","kg/ha","8206","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2016","2016","t","11839729","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2017","2017","ha","1435699","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2017","2017","kg/ha","10123.9","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2017","2017","t","14534897","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2018","2018","ha","1426260","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2018","2018","kg/ha","8820.6","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2018","2018","t","12580430","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2019","2019","ha","1506100","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2019","2019","kg/ha","8528.7","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2019","2019","t","12845020","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2020","2020","ha","1730030","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","7934.2","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2020","2020","t","13726410","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2021","2021","ha","1549470","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","9912","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2021","2021","t","15358290","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2022","2022","ha","1456090","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","7470.1","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2022","2022","t","10877190","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2023","2023","ha","1314680","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","9762.5","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2023","2023","t","12834600","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2024","2024","ha","1593920","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2024","2024","kg/ha","9204.1","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2024","2024","t","14670620","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01445","Sunflower seed","2014","2014","ha","657288","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01445","Sunflower seed","2014","2014","kg/ha","2410.2","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01445","Sunflower seed","2014","2014","t","1584190","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01445","Sunflower seed","2015","2015","ha","618777","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01445","Sunflower seed","2015","2015","kg/ha","1918.2","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01445","Sunflower seed","2015","2015","t","1186913","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01445","Sunflower seed","2016","2016","ha","536962","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01445","Sunflower seed","2016","2016","kg/ha","2183.4","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01445","Sunflower seed","2016","2016","t","1172411","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01445","Sunflower seed","2017","2017","ha","586225","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01445","Sunflower seed","2017","2017","kg/ha","2727.6","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01445","Sunflower seed","2017","2017","t","1598972","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01445","Sunflower seed","2018","2018","ha","552070","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01445","Sunflower seed","2018","2018","kg/ha","2244.4","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01445","Sunflower seed","2018","2018","t","1239080","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01445","Sunflower seed","2019","2019","ha","603920","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01445","Sunflower seed","2019","2019","kg/ha","2149.5","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01445","Sunflower seed","2019","2019","t","1298140","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01445","Sunflower seed","2020","2020","ha","777340","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01445","Sunflower seed","2020","2020","kg/ha","2068.8","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01445","Sunflower seed","2020","2020","t","1608190","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01445","Sunflower seed","2021","2021","ha","698360","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01445","Sunflower seed","2021","2021","kg/ha","2739.1","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01445","Sunflower seed","2021","2021","t","1912890","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01445","Sunflower seed","2022","2022","ha","870560","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01445","Sunflower seed","2022","2022","kg/ha","2065.8","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01445","Sunflower seed","2022","2022","t","1798380","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01445","Sunflower seed","2023","2023","ha","821740","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01445","Sunflower seed","2023","2023","kg/ha","2508.6","A","Official value",""
