PRINCIPALELE_CULTURI,FORME_DE_PROPRIETATE,REF_AREA,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
Orz si orzoaica,Sector privat,Bihor,1990,Kilograme,1992.0
Orz si orzoaica,Sector privat,Covasna,1990,Kilograme,2455.0
Orz si orzoaica,Sector privat,Calarasi,1990,Kilograme,4800.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Harghita,1990,Kilograme,1812.0
Orz si orzoaica,Sector privat,Harghita,1990,Kilograme,1812.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Bistrita-Nasaud,1990,Kilograme,2729.0
Orz si orzoaica,Sector privat,Bistrita-Nasaud,1990,Kilograme,2729.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Arges,1990,Kilograme,4291.0
Orz si orzoaica,Sector privat,Mehedinti,1990,Kilograme,1742.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Galati,1990,Kilograme,870.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Olt,1990,Kilograme,4302.0
Orz si orzoaica,Sector privat,Dambovita,1990,Kilograme,3681.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Dolj,1990,Kilograme,2121.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Mures,1990,Kilograme,3857.0
Orz si orzoaica,Sector privat,Mures,1990,Kilograme,3857.0
Orz si orzoaica,Sector privat,Cluj,1990,Kilograme,2552.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Cluj,1990,Kilograme,2552.0
Orz si orzoaica,Sector privat,Olt,1990,Kilograme,4302.0
Orz si orzoaica,Sector privat,Giurgiu,1990,Kilograme,4981.0
Orz si orzoaica,Sector privat,Mun. Bucuresti -incl. SAI,1990,Kilograme,3882.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Valcea,1990,Kilograme,4931.0
Orz si orzoaica,Sector privat,Buzau,1990,Kilograme,2167.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Sibiu,1990,Kilograme,2439.0
Orz si orzoaica,Sector privat,Sibiu,1990,Kilograme,2439.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Maramures,1990,Kilograme,2408.0
Orz si orzoaica,Sector privat,Maramures,1990,Kilograme,2408.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Arad,1990,Kilograme,2696.0
Orz si orzoaica,Sector privat,Valcea,1990,Kilograme,4931.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Buzau,1990,Kilograme,2167.0
Orz si orzoaica,Sector privat,Ialomita,1990,Kilograme,2864.0
Orz si orzoaica,Sector privat,Constanta,1990,Kilograme,3875.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Bacau,1990,Kilograme,4422.0
Orz si orzoaica,Sector privat,Bacau,1990,Kilograme,4422.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Satu Mare,1990,Kilograme,3775.0
Orz si orzoaica,Sector privat,Satu Mare,1990,Kilograme,3775.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Dambovita,1990,Kilograme,3681.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Caras-Severin,1990,Kilograme,1754.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Teleorman,1990,Kilograme,4222.0
Orz si orzoaica,Sector privat,Arad,1990,Kilograme,2696.0
Orz si orzoaica,Sector privat,Prahova,1990,Kilograme,3216.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Botosani,1990,Kilograme,3152.0
Orz si orzoaica,Sector privat,Galati,1990,Kilograme,870.0
Orz si orzoaica,Sector privat,Botosani,1990,Kilograme,3152.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Salaj,1990,Kilograme,2213.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Gorj,1990,Kilograme,2873.0
Orz si orzoaica,Sector privat,Salaj,1990,Kilograme,2213.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Hunedoara,1990,Kilograme,1890.0
Orz si orzoaica,Sector privat,Caras-Severin,1990,Kilograme,1754.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Calarasi,1990,Kilograme,4800.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Iasi,1990,Kilograme,5362.0
Orz si orzoaica,Sector privat,Teleorman,1990,Kilograme,4222.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Alba,1990,Kilograme,2593.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Prahova,1990,Kilograme,3216.0
Orz si orzoaica,Sector privat,Iasi,1990,Kilograme,5362.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Timis,1990,Kilograme,2096.0
Orz si orzoaica,Sector privat,Hunedoara,1990,Kilograme,1890.0
Orz si orzoaica,Sector privat,Alba,1990,Kilograme,2593.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Giurgiu,1990,Kilograme,4981.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Mehedinti,1990,Kilograme,1742.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Neamt,1990,Kilograme,3898.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Brasov,1990,Kilograme,2295.0
Orz si orzoaica,Sector privat,Timis,1990,Kilograme,2096.0
Orz si orzoaica,Sector privat,Vrancea,1990,Kilograme,2576.0
Orz si orzoaica,Sector privat,Dolj,1990,Kilograme,2121.0
Orz si orzoaica,Sector privat,Neamt,1990,Kilograme,3898.0
Orz si orzoaica,Sector privat,Brasov,1990,Kilograme,2295.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Ialomita,1990,Kilograme,2864.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Vrancea,1990,Kilograme,2576.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Suceava,1990,Kilograme,1649.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Constanta,1990,Kilograme,3875.0
Orz si orzoaica,Sector privat,Arges,1990,Kilograme,4291.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Mun. Bucuresti -incl. SAI,1990,Kilograme,3882.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Covasna,1990,Kilograme,2455.0
Orz si orzoaica,Sector privat,Suceava,1990,Kilograme,1649.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Bihor,1990,Kilograme,1992.0
Orz si orzoaica,Sector privat,Gorj,1990,Kilograme,2873.0
Orz si orzoaica,Sector privat,Arges,1991,Kilograme,1971.0
Orz si orzoaica,Sector privat,Teleorman,1991,Kilograme,3491.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Suceava,1991,Kilograme,1459.0
Orz si orzoaica,Sector privat,Suceava,1991,Kilograme,1459.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Covasna,1991,Kilograme,1565.0
Orz si orzoaica,Sector privat,Olt,1991,Kilograme,3509.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Bihor,1991,Kilograme,2342.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Timis,1991,Kilograme,1775.0
Orz si orzoaica,Sector privat,Bihor,1991,Kilograme,2620.0
Orz si orzoaica,Sector privat,Calarasi,1991,Kilograme,3400.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Vaslui,1991,Kilograme,1632.0
Orz si orzoaica,Sector privat,Vaslui,1991,Kilograme,1628.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Mun. Bucuresti -incl. SAI,1991,Kilograme,2444.0
Orz si orzoaica,Sector privat,Harghita,1991,Kilograme,1519.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Harghita,1991,Kilograme,1443.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Arges,1991,Kilograme,2482.0
Orz si orzoaica,Sector privat,Bistrita-Nasaud,1991,Kilograme,1755.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Bistrita-Nasaud,1991,Kilograme,1755.0
Orz si orzoaica,Sector privat,Mehedinti,1991,Kilograme,2235.0
Orz si orzoaica,Sector privat,Dambovita,1991,Kilograme,1825.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Constanta,1991,Kilograme,3200.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Olt,1991,Kilograme,3502.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Mures,1991,Kilograme,2324.0
Orz si orzoaica,Sector privat,Mures,1991,Kilograme,2319.0
Orz si orzoaica,Sector privat,Cluj,1991,Kilograme,1560.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Cluj,1991,Kilograme,1544.0
Orz si orzoaica,Sector privat,Gorj,1991,Kilograme,1917.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Dolj,1991,Kilograme,3307.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Mehedinti,1991,Kilograme,2235.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Valcea,1991,Kilograme,3094.0
Orz si orzoaica,Sector privat,Giurgiu,1991,Kilograme,1888.0
Orz si orzoaica,Sector privat,Buzau,1991,Kilograme,2895.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Sibiu,1991,Kilograme,1120.0
Orz si orzoaica,Sector privat,Sibiu,1991,Kilograme,1120.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Maramures,1991,Kilograme,1583.0
Orz si orzoaica,Sector privat,Maramures,1991,Kilograme,1583.0
