PRINCIPALELE_CULTURI,FORME_DE_PROPRIETATE,REF_AREA,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
Porumb boabe,Sector privat,Bihor,1990,Kilograme,2654.0
Porumb boabe,din care: Exploatatii agricole individuale,Covasna,1990,Kilograme,2361.0
Porumb boabe,din care: Exploatatii agricole individuale,Ialomita,1990,Kilograme,4858.0
Porumb boabe,Sector privat,Gorj,1990,Kilograme,1899.0
Porumb boabe,din care: Exploatatii agricole individuale,Constanta,1990,Kilograme,3860.0
Porumb boabe,Sector privat,Calarasi,1990,Kilograme,4169.0
Porumb boabe,din care: Exploatatii agricole individuale,Vaslui,1990,Kilograme,1612.0
Porumb boabe,Sector privat,Vaslui,1990,Kilograme,1612.0
Porumb boabe,Sector privat,Harghita,1990,Kilograme,2308.0
Porumb boabe,Sector privat,Bistrita-Nasaud,1990,Kilograme,2002.0
Porumb boabe,din care: Exploatatii agricole individuale,Harghita,1990,Kilograme,2308.0
Porumb boabe,din care: Exploatatii agricole individuale,Mun. Bucuresti -incl. SAI,1990,Kilograme,3836.0
Porumb boabe,din care: Exploatatii agricole individuale,Bistrita-Nasaud,1990,Kilograme,2002.0
Porumb boabe,Sector privat,Mehedinti,1990,Kilograme,2121.0
Porumb boabe,Sector privat,Dambovita,1990,Kilograme,3739.0
Porumb boabe,din care: Exploatatii agricole individuale,Arges,1990,Kilograme,3052.0
Porumb boabe,Sector privat,Braila,1990,Kilograme,5302.0
Porumb boabe,din care: Exploatatii agricole individuale,Galati,1990,Kilograme,2091.0
Porumb boabe,Sector privat,Mures,1990,Kilograme,2922.0
Porumb boabe,din care: Exploatatii agricole individuale,Braila,1990,Kilograme,5302.0
Porumb boabe,Sector privat,Cluj,1990,Kilograme,2357.0
Porumb boabe,din care: Exploatatii agricole individuale,Hunedoara,1990,Kilograme,2163.0
Porumb boabe,din care: Exploatatii agricole individuale,Mures,1990,Kilograme,2922.0
Porumb boabe,din care: Exploatatii agricole individuale,Cluj,1990,Kilograme,2357.0
Porumb boabe,Sector privat,Olt,1990,Kilograme,3974.0
Porumb boabe,Sector privat,Giurgiu,1990,Kilograme,4623.0
Porumb boabe,Sector privat,Buzau,1990,Kilograme,2442.0
Porumb boabe,din care: Exploatatii agricole individuale,Mehedinti,1990,Kilograme,2121.0
Porumb boabe,Sector privat,Sibiu,1990,Kilograme,3298.0
Porumb boabe,Sector privat,Maramures,1990,Kilograme,2328.0
Porumb boabe,din care: Exploatatii agricole individuale,Dolj,1990,Kilograme,4317.0
Porumb boabe,din care: Exploatatii agricole individuale,Valcea,1990,Kilograme,3864.0
Porumb boabe,din care: Exploatatii agricole individuale,Sibiu,1990,Kilograme,3298.0
Porumb boabe,din care: Exploatatii agricole individuale,Maramures,1990,Kilograme,2328.0
Porumb boabe,Sector privat,Valcea,1990,Kilograme,3864.0
Porumb boabe,Sector privat,Ialomita,1990,Kilograme,4858.0
Porumb boabe,Sector privat,Constanta,1990,Kilograme,3860.0
Porumb boabe,Sector privat,Bacau,1990,Kilograme,2689.0
Porumb boabe,din care: Exploatatii agricole individuale,Arad,1990,Kilograme,2902.0
Porumb boabe,din care: Exploatatii agricole individuale,Teleorman,1990,Kilograme,3603.0
Porumb boabe,Sector privat,Satu Mare,1990,Kilograme,2755.0
Porumb boabe,din care: Exploatatii agricole individuale,Tulcea,1990,Kilograme,2923.0
Porumb boabe,din care: Exploatatii agricole individuale,Buzau,1990,Kilograme,2442.0
Porumb boabe,din care: Exploatatii agricole individuale,Bacau,1990,Kilograme,2689.0
Porumb boabe,din care: Exploatatii agricole individuale,Satu Mare,1990,Kilograme,2755.0
Porumb boabe,Sector privat,Arad,1990,Kilograme,2902.0
Porumb boabe,Sector privat,Prahova,1990,Kilograme,3418.0
Porumb boabe,Sector privat,Galati,1990,Kilograme,2091.0
Porumb boabe,Sector privat,Botosani,1990,Kilograme,2986.0
Porumb boabe,din care: Exploatatii agricole individuale,Dambovita,1990,Kilograme,3739.0
Porumb boabe,Sector privat,Salaj,1990,Kilograme,2219.0
Porumb boabe,din care: Exploatatii agricole individuale,Caras-Severin,1990,Kilograme,1430.0
Porumb boabe,din care: Exploatatii agricole individuale,Botosani,1990,Kilograme,2986.0
Porumb boabe,din care: Exploatatii agricole individuale,Salaj,1990,Kilograme,2219.0
Porumb boabe,Sector privat,Caras-Severin,1990,Kilograme,1430.0
Porumb boabe,din care: Exploatatii agricole individuale,Vrancea,1990,Kilograme,2100.0
Porumb boabe,Sector privat,Teleorman,1990,Kilograme,3603.0
Porumb boabe,din care: Exploatatii agricole individuale,Calarasi,1990,Kilograme,4169.0
Porumb boabe,din care: Exploatatii agricole individuale,Prahova,1990,Kilograme,3418.0
Porumb boabe,Sector privat,Tulcea,1990,Kilograme,2923.0
Porumb boabe,Sector privat,Iasi,1990,Kilograme,2695.0
Porumb boabe,Sector privat,Alba,1990,Kilograme,2493.0
Porumb boabe,din care: Exploatatii agricole individuale,Olt,1990,Kilograme,3974.0
Porumb boabe,din care: Exploatatii agricole individuale,Iasi,1990,Kilograme,2695.0
Porumb boabe,din care: Exploatatii agricole individuale,Alba,1990,Kilograme,2493.0
Porumb boabe,Sector privat,Hunedoara,1990,Kilograme,2163.0
Porumb boabe,Sector privat,Mun. Bucuresti -incl. SAI,1990,Kilograme,3836.0
Porumb boabe,Sector privat,Vrancea,1990,Kilograme,2100.0
Porumb boabe,din care: Exploatatii agricole individuale,Giurgiu,1990,Kilograme,4623.0
Porumb boabe,Sector privat,Neamt,1990,Kilograme,3403.0
Porumb boabe,din care: Exploatatii agricole individuale,Timis,1990,Kilograme,2912.0
Porumb boabe,Sector privat,Brasov,1990,Kilograme,2605.0
Porumb boabe,din care: Exploatatii agricole individuale,Neamt,1990,Kilograme,3403.0
Porumb boabe,din care: Exploatatii agricole individuale,Brasov,1990,Kilograme,2605.0
Porumb boabe,Sector privat,Timis,1990,Kilograme,2912.0
Porumb boabe,Sector privat,Dolj,1990,Kilograme,4317.0
Porumb boabe,din care: Exploatatii agricole individuale,Gorj,1990,Kilograme,1899.0
Porumb boabe,Sector privat,Arges,1990,Kilograme,3052.0
Porumb boabe,Sector privat,Suceava,1990,Kilograme,2705.0
Porumb boabe,Sector privat,Covasna,1990,Kilograme,2361.0
Porumb boabe,din care: Exploatatii agricole individuale,Suceava,1990,Kilograme,2705.0
Porumb boabe,din care: Exploatatii agricole individuale,Bihor,1990,Kilograme,2654.0
