PRINCIPALELE_CULTURI,FORME_DE_PROPRIETATE,REF_AREA,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
Floarea soarelui,Sector privat,Bihor,1990,Kilograme,598.0
Floarea soarelui,Sector privat,Mehedinti,1990,Kilograme,1122.0
Floarea soarelui,Sector privat,Buzau,1990,Kilograme,1793.0
Floarea soarelui,din care: Exploatatii agricole individuale,Dambovita,1990,Kilograme,1281.0
Floarea soarelui,Sector privat,Giurgiu,1990,Kilograme,1500.0
Floarea soarelui,Sector privat,Bistrita-Nasaud,1990,Kilograme,1445.0
Floarea soarelui,din care: Exploatatii agricole individuale,Bacau,1990,Kilograme,791.0
Floarea soarelui,Sector privat,Olt,1990,Kilograme,1609.0
Floarea soarelui,din care: Exploatatii agricole individuale,Arad,1990,Kilograme,1212.0
Floarea soarelui,din care: Exploatatii agricole individuale,Giurgiu,1990,Kilograme,1500.0
Floarea soarelui,din care: Exploatatii agricole individuale,Constanta,1990,Kilograme,1000.0
Floarea soarelui,din care: Exploatatii agricole individuale,Botosani,1990,Kilograme,1089.0
Floarea soarelui,Sector privat,Constanta,1990,Kilograme,1000.0
Floarea soarelui,din care: Exploatatii agricole individuale,Maramures,1990,Kilograme,1224.0
Floarea soarelui,din care: Exploatatii agricole individuale,Bihor,1990,Kilograme,598.0
Floarea soarelui,Sector privat,Cluj,1990,Kilograme,100.0
Floarea soarelui,din care: Exploatatii agricole individuale,Prahova,1990,Kilograme,3000.0
Floarea soarelui,Sector privat,Ialomita,1990,Kilograme,3008.0
Floarea soarelui,din care: Exploatatii agricole individuale,Iasi,1990,Kilograme,804.0
Floarea soarelui,din care: Exploatatii agricole individuale,Satu Mare,1990,Kilograme,940.0
Floarea soarelui,Sector privat,Arad,1990,Kilograme,1212.0
Floarea soarelui,Sector privat,Maramures,1990,Kilograme,1224.0
Floarea soarelui,Sector privat,Galati,1990,Kilograme,856.0
Floarea soarelui,Sector privat,Botosani,1990,Kilograme,1089.0
Floarea soarelui,din care: Exploatatii agricole individuale,Buzau,1990,Kilograme,1793.0
Floarea soarelui,Sector privat,Prahova,1990,Kilograme,3000.0
Floarea soarelui,din care: Exploatatii agricole individuale,Salaj,1990,Kilograme,1027.0
Floarea soarelui,Sector privat,Satu Mare,1990,Kilograme,940.0
Floarea soarelui,Sector privat,Tulcea,1990,Kilograme,1168.0
Floarea soarelui,Sector privat,Iasi,1990,Kilograme,804.0
Floarea soarelui,din care: Exploatatii agricole individuale,Timis,1990,Kilograme,995.0
Floarea soarelui,Sector privat,Teleorman,1990,Kilograme,1500.0
Floarea soarelui,din care: Exploatatii agricole individuale,Alba,1990,Kilograme,714.0
Floarea soarelui,Sector privat,Salaj,1990,Kilograme,1027.0
