PRINCIPALELE_CULTURI,FORME_DE_PROPRIETATE,REF_AREA,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
Grau - total,Sector privat,Bihor,1990,Kilograme,2138.0
Grau - total,din care: Exploatatii agricole individuale,Covasna,1990,Kilograme,3059.0
Grau - total,Sector privat,Gorj,1990,Kilograme,2053.0
Grau - total,din care: Exploatatii agricole individuale,Galati,1990,Kilograme,2197.0
Grau - total,Sector privat,Calarasi,1990,Kilograme,3320.0
Grau - total,din care: Exploatatii agricole individuale,Vaslui,1990,Kilograme,2210.0
Grau - total,Sector privat,Vaslui,1990,Kilograme,2210.0
Grau - total,din care: Exploatatii agricole individuale,Mun. Bucuresti -incl. SAI,1990,Kilograme,4195.0
Grau - total,Sector privat,Harghita,1990,Kilograme,1927.0
Grau - total,din care: Exploatatii agricole individuale,Harghita,1990,Kilograme,1927.0
Grau - total,din care: Exploatatii agricole individuale,Bistrita-Nasaud,1990,Kilograme,2121.0
Grau - total,Sector privat,Bistrita-Nasaud,1990,Kilograme,2121.0
Grau - total,din care: Exploatatii agricole individuale,Ialomita,1990,Kilograme,3588.0
Grau - total,din care: Exploatatii agricole individuale,Mehedinti,1990,Kilograme,2842.0
Grau - total,Sector privat,Mehedinti,1990,Kilograme,2842.0
Grau - total,din care: Exploatatii agricole individuale,Olt,1990,Kilograme,3880.0
Grau - total,Sector privat,Dambovita,1990,Kilograme,3437.0
Grau - total,din care: Exploatatii agricole individuale,Cluj,1990,Kilograme,2493.0
Grau - total,din care: Exploatatii agricole individuale,Arges,1990,Kilograme,3577.0
Grau - total,Sector privat,Braila,1990,Kilograme,3019.0
Grau - total,din care: Exploatatii agricole individuale,Mures,1990,Kilograme,3601.0
Grau - total,Sector privat,Hunedoara,1990,Kilograme,1922.0
Grau - total,Sector privat,Olt,1990,Kilograme,3880.0
Grau - total,Sector privat,Cluj,1990,Kilograme,2493.0
Grau - total,Sector privat,Giurgiu,1990,Kilograme,3928.0
Grau - total,din care: Exploatatii agricole individuale,Valcea,1990,Kilograme,3701.0
Grau - total,din care: Exploatatii agricole individuale,Maramures,1990,Kilograme,2100.0
Grau - total,Sector privat,Buzau,1990,Kilograme,1788.0
Grau - total,Sector privat,Sibiu,1990,Kilograme,2742.0
Grau - total,din care: Exploatatii agricole individuale,Sibiu,1990,Kilograme,2742.0
Grau - total,Sector privat,Valcea,1990,Kilograme,3701.0
Grau - total,Sector privat,Maramures,1990,Kilograme,2100.0
Grau - total,din care: Exploatatii agricole individuale,Dolj,1990,Kilograme,4107.0
Grau - total,Sector privat,Ialomita,1990,Kilograme,3588.0
Grau - total,din care: Exploatatii agricole individuale,Arad,1990,Kilograme,2603.0
Grau - total,Sector privat,Constanta,1990,Kilograme,3468.0
Grau - total,Sector privat,Bacau,1990,Kilograme,3567.0
Grau - total,din care: Exploatatii agricole individuale,Satu Mare,1990,Kilograme,2792.0
Grau - total,Sector privat,Satu Mare,1990,Kilograme,2792.0
Grau - total,din care: Exploatatii agricole individuale,Bacau,1990,Kilograme,3567.0
Grau - total,Sector privat,Arad,1990,Kilograme,2603.0
Grau - total,Sector privat,Prahova,1990,Kilograme,3656.0
