NUTS_ID,county_name,barley_yield_2021_kg_ha
RO111,Bihor,4216.0
RO112,Bistrita-Nasaud,3188.0
RO113,Cluj,3818.0
RO114,Maramures,2615.0
RO115,Satu Mare,2702.0
RO116,Salaj,2882.0
RO121,Alba,3839.0
RO122,Brasov,2860.0
RO123,Covasna,3517.0
RO124,Harghita,2362.0
RO125,Mures,3258.0
RO126,Sibiu,3596.0
RO211,Bacau,2703.0
RO212,Botosani,3300.0
RO213,Iasi,3808.0
RO214,Neamt,4593.0
RO215,Suceava,2495.0
RO216,Vaslui,2946.0
RO221,Braila,4712.0
RO222,Buzau,3908.0
RO223,Constanta,4739.0
RO224,Galati,5877.0
RO225,Tulcea,4121.0
RO226,Vrancea,4247.0
RO311,Arges,3217.0
RO312,Calarasi,4815.0
RO313,Dambovita,3071.0
RO314,Giurgiu,4563.0
RO315,Ialomita,5649.0
RO316,Prahova,4713.0
RO317,Teleorman,4785.0
RO322,Ilfov,4824.0
RO411,Dolj,4206.0
RO412,Gorj,2853.0
RO413,Mehedinti,3290.0
RO414,Olt,4209.0
RO415,Valcea,3780.0
RO421,Arad,4431.0
RO422,Caras-Severin,4964.0
RO423,Hunedoara,3151.0
RO424,Timis,5583.0
