NUTS_ID,county_name,maize_yield_2024_kg_ha
RO111,Bihor,4573.0
RO112,Bistrita-Nasaud,4186.0
RO113,Cluj,3679.0
RO114,Maramures,2405.0
RO115,Satu Mare,4110.0
RO116,Salaj,3406.0
RO121,Alba,4017.0
RO122,Brasov,4806.0
RO123,Covasna,7097.0
RO124,Harghita,3938.0
RO125,Mures,5558.0
RO126,Sibiu,4019.0
RO211,Bacau,3406.0
RO212,Botosani,2287.0
RO213,Iasi,1835.0
RO214,Neamt,3402.0
RO215,Suceava,3694.0
RO216,Vaslui,1570.0
RO221,Braila,4982.0
RO222,Buzau,693.0
RO223,Constanta,1723.0
RO224,Galati,1049.0
RO225,Tulcea,1988.0
RO226,Vrancea,598.0
RO311,Arges,1831.0
RO312,Calarasi,2918.0
RO313,Dambovita,1105.0
RO314,Giurgiu,2330.0
RO315,Ialomita,2864.0
RO316,Prahova,280.0
RO317,Teleorman,1185.0
RO322,Ilfov,1218.0
RO411,Dolj,2785.0
RO412,Gorj,3110.0
RO413,Mehedinti,1132.0
RO414,Olt,1212.0
RO415,Valcea,1787.0
RO421,Arad,3224.0
RO422,Caras-Severin,3455.0
RO423,Hunedoara,3631.0
RO424,Timis,4644.0
,Municipiul Bucuresti,0.0
