NUTS_ID,county_name,sunflower_yield_2021_kg_ha
RO111,Bihor,2132.0
RO112,Bistrita-Nasaud,2282.0
RO113,Cluj,2726.0
RO114,Maramures,2716.0
RO115,Satu Mare,2724.0
RO116,Salaj,2008.0
RO121,Alba,2503.0
RO122,Brasov,2653.0
RO123,Covasna,2085.0
RO124,Harghita,1720.0
RO125,Mures,3026.0
RO126,Sibiu,2090.0
RO211,Bacau,2442.0
RO212,Botosani,2697.0
RO213,Iasi,2267.0
RO214,Neamt,2557.0
RO215,Suceava,2043.0
RO216,Vaslui,2183.0
RO221,Braila,2477.0
RO222,Buzau,2500.0
RO223,Constanta,3413.0
RO224,Galati,3030.0
RO225,Tulcea,2446.0
RO226,Vrancea,2524.0
RO311,Arges,1904.0
RO312,Calarasi,2724.0
RO313,Dambovita,2119.0
RO314,Giurgiu,2210.0
RO315,Ialomita,2641.0
RO316,Prahova,2522.0
RO317,Teleorman,2252.0
RO322,Ilfov,2106.0
RO411,Dolj,2836.0
RO412,Gorj,1545.0
RO413,Mehedinti,2062.0
RO414,Olt,2244.0
RO415,Valcea,2455.0
RO421,Arad,2454.0
RO422,Caras-Severin,2184.0
RO423,Hunedoara,2165.0
RO424,Timis,2441.0
,Municipiul Bucuresti,1000.0
