NUTS_ID,county_name,wheat_yield_2021_kg_ha
RO111,Bihor,4172.0
RO112,Bistrita-Nasaud,4075.0
RO113,Cluj,4583.0
RO114,Maramures,4538.0
RO115,Satu Mare,4185.0
RO116,Salaj,3593.0
RO121,Alba,4873.0
RO122,Brasov,4359.0
RO123,Covasna,3928.0
RO124,Harghita,3782.0
RO125,Mures,4881.0
RO126,Sibiu,3814.0
RO211,Bacau,4380.0
RO212,Botosani,4846.0
RO213,Iasi,4659.0
RO214,Neamt,4822.0
RO215,Suceava,3841.0
RO216,Vaslui,4384.0
RO221,Braila,5373.0
RO222,Buzau,5021.0
RO223,Constanta,5086.0
RO224,Galati,5435.0
RO225,Tulcea,4747.0
RO226,Vrancea,4410.0
RO311,Arges,4499.0
RO312,Calarasi,5325.0
RO313,Dambovita,3588.0
RO314,Giurgiu,4708.0
RO315,Ialomita,4983.0
RO316,Prahova,4406.0
RO317,Teleorman,4947.0
RO322,Ilfov,5041.0
RO411,Dolj,4666.0
RO412,Gorj,3662.0
RO413,Mehedinti,3783.0
RO414,Olt,5045.0
RO415,Valcea,3933.0
RO421,Arad,5061.0
RO422,Caras-Severin,4634.0
RO423,Hunedoara,3937.0
RO424,Timis,5525.0
