Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0115","Barley","2014","2014","7021","Annual value","USD","200.3","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0115","Barley","2015","2015","7021","Annual value","USD","166.2","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0115","Barley","2016","2016","7021","Annual value","USD","138.5","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0115","Barley","2017","2017","7021","Annual value","USD","149.7","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0115","Barley","2018","2018","7021","Annual value","USD","195.2","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0115","Barley","2019","2019","7021","Annual value","USD","161.4","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0115","Barley","2020","2020","7021","Annual value","USD","169.6","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0115","Barley","2021","2021","7021","Annual value","USD","241.2","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0115","Barley","2022","2022","7021","Annual value","USD","355.2","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0115","Barley","2023","2023","7021","Annual value","USD","271","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0115","Barley","2024","2024","7021","Annual value","USD","239.3","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2014","2014","7021","Annual value","USD","194.7","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2015","2015","7021","Annual value","USD","173.8","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2016","2016","7021","Annual value","USD","175.9","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2017","2017","7021","Annual value","USD","161.3","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2018","2018","7021","Annual value","USD","186.7","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2019","2019","7021","Annual value","USD","178.5","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2020","2020","7021","Annual value","USD","187.6","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2021","2021","7021","Annual value","USD","262.2","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2022","2022","7021","Annual value","USD","329.2","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2023","2023","7021","Annual value","USD","248.7","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2024","2024","7021","Annual value","USD","209.2","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2014","2014","7021","Annual value","USD","491.2","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2015","2015","7021","Annual value","USD","433.1","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2016","2016","7021","Annual value","USD","427","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2017","2017","7021","Annual value","USD","400.2","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2018","2018","7021","Annual value","USD","420.6","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2019","2019","7021","Annual value","USD","411.8","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2020","2020","7021","Annual value","USD","479.3","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2021","2021","7021","Annual value","USD","719.5","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2022","2022","7021","Annual value","USD","807.1","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2023","2023","7021","Annual value","USD","561.7","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0111","Wheat","2014","2014","7021","Annual value","USD","216.2","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0111","Wheat","2015","2015","7021","Annual value","USD","172.9","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0111","Wheat","2016","2016","7021","Annual value","USD","159.9","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0111","Wheat","2017","2017","7021","Annual value","USD","158","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0111","Wheat","2018","2018","7021","Annual value","USD","195.1","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0111","Wheat","2019","2019","7021","Annual value","USD","183.3","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0111","Wheat","2020","2020","7021","Annual value","USD","200.4","A","Official value"
